[AlexCraft1157845][Thu Oct 13 16:07:52 2022]: XD

[AlexCraft1157845][Thu Oct 13 16:08:08 2022]: XDDDDDDDDDDD

[AlexCraft1157845][Thu Oct 13 16:08:48 2022]: NI NI NIGA

[Xx_PrOGaMeR10_xX][Fri Oct 14 17:04:24 2022]: idk what they found funny on iy

[PANDA1902       ][Fri Oct 14 17:11:23 2022]: сорян

[iuda_999        ][Fri Oct 14 17:11:46 2022]: я улетаю из страны

[ilumicall       ][Fri Oct 14 17:11:49 2022]: там чел небось пересрал

[ilumicall       ][Fri Oct 14 17:11:53 2022]: он поставку везет

[ilumicall       ][Fri Oct 14 17:11:57 2022]: возле него бомбанул

[iuda_999        ][Fri Oct 14 17:12:26 2022]: кто самной в россию пьолтит

[ilumicall       ][Fri Oct 14 17:12:56 2022]: как за бортом там7

[ilumicall       ][Fri Oct 14 17:12:57 2022]: ?

[ilumicall       ][Fri Oct 14 17:13:00 2022]: мы на глубине?

[Tactical_Suicide][Fri Oct 14 17:13:08 2022]: пиздец чё в небе

[Vlad_GV         ][Fri Oct 14 17:13:10 2022]: нет

[ilumicall       ][Fri Oct 14 17:13:18 2022]: у меня ракета под картой заспавнилась

[Vlad_GV         ][Fri Oct 14 17:13:21 2022]: перевёрнутый лосантос

[ilumicall       ][Fri Oct 14 17:13:32 2022]: а

[ilumicall       ][Fri Oct 14 17:13:33 2022]: ебать

[Vlad_GV         ][Fri Oct 14 17:13:33 2022]: выйди посмотри

[ilumicall       ][Fri Oct 14 17:13:35 2022]: что с картой

[ilumicall       ][Fri Oct 14 17:13:36 2022]: я вижу

[ilumicall       ][Fri Oct 14 17:13:38 2022]: летаю 

[Tactical_Suicide][Fri Oct 14 17:13:42 2022]: ля ебать

[ToothlesDragonX ][Fri Oct 14 17:13:43 2022]: pls no

[ToothlesDragonX ][Fri Oct 14 17:13:49 2022]: im sorry my boss

[-AZap-          ][Fri Oct 14 17:14:00 2022]: i can,t get in

[jurkxr          ][Fri Oct 14 17:14:17 2022]: fked lobby

[iuda_999        ][Fri Oct 14 17:14:18 2022]: ебать

[-AZap-          ][Fri Oct 14 17:14:28 2022]: wanna find a new one

[ilumicall       ][Fri Oct 14 17:14:34 2022]: там за бортом страшно как-то

[Tactical_Suicide][Fri Oct 14 17:14:39 2022]: еба тут косатки в небе

[ilumicall       ][Fri Oct 14 17:14:47 2022]: по нам тут ведут огонь

[ilumicall       ][Fri Oct 14 17:14:53 2022]: ПОГРУЖАЙСЯ

[Vlad_GV         ][Fri Oct 14 17:14:56 2022]: взорви его

[iuda_999        ][Fri Oct 14 17:15:00 2022]: ебать

[ilumicall       ][Fri Oct 14 17:15:04 2022]: он под водо

[ilumicall       ][Fri Oct 14 17:15:11 2022]: перескоп под водой недоступен

[ilumicall       ][Fri Oct 14 17:15:37 2022]: создавай оргу

[Tactical_Suicide][Fri Oct 14 17:15:38 2022]: да

[iuda_999        ][Fri Oct 14 17:15:38 2022]: кто читер

[iuda_999        ][Fri Oct 14 17:15:50 2022]: мне нет

[Laitlet         ][Fri Oct 14 17:15:55 2022]: не я

[Tactical_Suicide][Fri Oct 14 17:15:57 2022]: атмосферно

[Dragnea7        ][Fri Oct 14 17:16:04 2022]: tema love you bro

[iuda_999        ][Fri Oct 14 17:16:21 2022]: я на самалёте

They were spoofing as JIMMYCHICKEN23:
[itwasthreedays  ][Sat Oct 15 19:09:52 2022]: what viehcles do yall recomend

[michellegalant06][Sat Oct 15 19:09:58 2022]: 0shut up vloc ****ing ******

[Eddypro560      ][Sat Oct 15 19:10:02 2022]: car meet @ casino

[JIMMYCHICKEN23  ][Sat Oct 15 19:10:29 2022]: can you give me a unmodified shotoro

[JIMMYCHICKEN23  ][Sat Oct 15 19:10:41 2022]: cause it says that when i enterd garage

[JIMMYCHICKEN23  ][Sat Oct 15 19:10:52 2022]: maybe if it is unmodified itll work

[michellegalant06][Sat Oct 15 19:10:56 2022]: ya come to casino

[JIMMYCHICKEN23  ][Sat Oct 15 19:11:16 2022]: kok

[Vlocced24       ][Sat Oct 15 19:11:30 2022]: xD

[itwasthreedays  ][Sat Oct 15 19:13:48 2022]: where does everyone like to hvae a garage?

[itwasthreedays  ][Sat Oct 15 19:13:54 2022]: near casino or airport?

[Eddypro560      ][Sat Oct 15 19:13:59 2022]: um im tarrified

[Eddypro560      ][Sat Oct 15 19:14:14 2022]: hi

[loopy2          ][Sat Oct 15 19:30:56 2022]: sorry annoying that

[loopy2          ][Sat Oct 15 19:31:08 2022]: hought it was a mission not players ;-)

[yonasbrothers   ][Sat Oct 15 19:33:36 2022]: you stupid ****

[2BuddyBear      ][Sat Oct 15 19:33:55 2022]: thx

[theslamcreeper_ ][Sat Oct 15 19:34:00 2022]: np

[2BuddyBear      ][Sat Oct 15 19:34:04 2022]: :)

[theslamcreeper_ ][Sat Oct 15 19:34:14 2022]: il cover you

[2BuddyBear      ][Sat Oct 15 19:34:18 2022]: :)a

[2BuddyBear      ][Sat Oct 15 19:35:49 2022]: nice

[theslamcreeper_ ][Sat Oct 15 19:35:52 2022]: ty

[2BuddyBear      ][Sat Oct 15 19:36:02 2022]: 2more

[M4L0__          ][Sat Oct 15 19:40:10 2022]: HELLO

[DJO-_-YT        ][Sat Oct 15 19:40:14 2022]: hello

[2BuddyBear      ][Sat Oct 15 19:40:19 2022]: thx for help bro

[M4L0__          ][Sat Oct 15 19:40:30 2022]: ARE YOU GOOD

[DJO-_-YT        ][Sat Oct 15 19:40:36 2022]: yea

[theslamcreeper_ ][Sat Oct 15 19:40:41 2022]: np

[M4L0__          ][Sat Oct 15 19:40:45 2022]: cool

[2BuddyBear      ][Sat Oct 15 19:41:36 2022]: thx

[theslamcreeper_ ][Sat Oct 15 19:41:48 2022]: np

[M4L0__          ][Sat Oct 15 19:42:02 2022]: what are you doing

[theslamcreeper_ ][Sat Oct 15 19:42:19 2022]: inv me to ceo?

[M4L0__          ][Sat Oct 15 19:42:50 2022]: ;)

[2BuddyBear      ][Sat Oct 15 19:44:10 2022]: sry

[theslamcreeper_ ][Sat Oct 15 19:44:14 2022]: il call my insurgent

[2BuddyBear      ][Sat Oct 15 19:44:19 2022]: ok

[theslamcreeper_ ][Sat Oct 15 19:44:26 2022]: ceo?

[theslamcreeper_ ][Sat Oct 15 19:44:30 2022]: mmmissions?

[2BuddyBear      ][Sat Oct 15 19:44:31 2022]: jo

[M4L0__          ][Sat Oct 15 19:44:33 2022]: wooooow

[2BuddyBear      ][Sat Oct 15 19:44:48 2022]: you can invite me :)

